resv_status,rn,adults,child,baby,room_type,id_client,oos,hk_Full_stay,checkout_year,checkout_month,checkout_day,checkout_day_name,hk_half_stay,total_HK
1,2,2,0,0,0,12903435,1,1,2023,7,4,3,0.0,1.0
1,7,3,0,0,1,9836973,1,1,2022,6,12,1,0.5,1.5
1,5,3,0,0,1,14209013,1,1,2023,6,23,6,0.5,1.5
1,6,4,0,0,1,14207266,1,1,2023,6,23,6,0.5,1.5
1,4,2,0,0,1,9680840,1,1,2022,7,12,3,0.5,1.5
1,2,2,0,0,0,9391325,1,1,2022,7,4,2,0.0,1.0
1,5,2,0,0,0,13398062,1,1,2023,2,5,1,0.5,1.5
1,2,8,0,0,3,12921324,1,1,2023,8,13,1,0.0,1.0
1,2,6,0,0,2,12921324,1,1,2023,8,13,1,0.0,1.0
1,4,2,0,0,1,13565273,1,1,2023,4,15,7,0.5,1.5
1,5,2,0,0,1,16657761,1,1,2023,10,30,2,0.5,1.5
1,6,2,0,0,1,16775772,1,1,2023,10,12,5,0.5,1.5
1,11,4,0,0,1,16945755,1,2,2023,9,17,1,1.0,3.0
1,6,4,0,0,1,12162429,1,1,2022,10,13,5,0.5,1.5
